clj-amazonica.csv,clj-faraday.csv,go.csv,node.csv,python.csv
1431.995157,482.405459,67.692659,143,35.536307000256784
33.112165,36.785298,3.188439,51,6.057295999198686
29.88976,19.235977,3.708152,52,6.081312999413058
34.465835,10.124492,3.049275,55,5.315190000146686
27.113487,16.993633,3.361265,52,5.200452999815752
35.002147,26.513851,3.649458,60,6.145144999209151
30.211967,18.227983,3.681762,54,7.249421999404149
29.632173,34.432651,3.027202,56,5.461014000502473
18.906851,16.691374,3.079671,57,5.263316999844392
25.109532,8.730631,4.005884,56,5.974540999886813
16.674054,33.48328,3.090486,56,6.135914999504166
18.131494,30.035395,3.916233,48,5.943451000348432
22.459192,30.094283,3.159905,58,5.772012000306859
19.739507,17.345559,3.09366,59,6.022864999977173
22.290258,16.800398,3.96076,58,5.211947999669064
24.282863,10.399581,4.73333,56,5.205260000366252
21.142004,17.494956,3.938079,48,5.918567000662733
19.359315,16.560894,3.126202,66,5.141330999322236
22.176891,8.769971,3.734307,58,6.142911999631906
14.202926,42.332874,5.63398,71,6.128189000264683
20.853436,14.031577,3.064284,79,7.396064999738883
14.612391,12.599274,3.122466,142,7.624983000823704
15.793005,23.034295,3.998227,46,5.2743840005859965
25.095672,8.814628,3.027791,43,5.874458999642229
26.893109,8.26787,3.762473,85,6.103580000853981
20.195994,8.527542,3.903042,71,5.310800000188465
15.417251,7.957818,3.68236,40,7.1695330007059965
24.945643,11.844018,5.342928,56,5.70289799998136
17.076451,22.835057,3.899658,58,5.866063000212307
13.765202,23.212584,3.763442,41,6.057861000044795
14.575424,50.51123,3.024838,75,5.208009999478236
16.034664,7.9246,3.918719,52,6.05155100038246
13.82012,17.841974,3.581933,61,6.16344499940169
13.746706,8.120127,4.076858,62,5.931820999649062
17.545544,8.300825,3.077886,58,5.9830520003743
18.300276,7.479717,3.630107,46,5.248868999842671
19.000134,8.213815,5.96044,76,5.273965999549546
38.482278,8.644297,4.040981,46,5.910101999688777
12.556031,12.28233,4.730752,88,6.030403999830014
15.753241,16.364818,3.919681,40,6.068636999771115
17.975002,8.279747,3.149205,59,5.946647999735433
13.671486,8.180984,3.742234,45,5.451085999993666
12.998441,11.859403,3.706247,56,5.971863999548077
13.239073,7.547516,3.632922,46,5.986628999380628
13.359327,8.12282,3.608059,63,7.175316000029852
19.37952,8.010678,5.363228,68,7.108300999789208
13.413741,28.69976,6.203079,48,7.01759499952459
13.982377,8.561131,2.977903,39,7.057525000163878
19.726208,11.242326,3.03919,46,6.2210369997046655
13.309512,8.0579,3.016157,41,5.8991440000681905
22.475092,7.964219,3.200775,46,6.029549999766459
16.138017,11.46884,3.950623,42,6.461764000050607
16.676148,12.795331,3.133985,42,6.387187999280286
13.736075,7.357776,3.731358,47,5.870179999874381
13.235392,7.984075,4.656412,48,5.208794999816746
13.25793,8.241746,3.910352,48,5.974495999907958
16.777723,7.977788,3.921803,45,5.313360999934957
17.608666,17.055323,3.859134,57,5.328649000148289
14.85178,8.042599,3.763212,40,6.156018999718071
13.411834,27.45452,4.377656,42,6.135603999609884
12.581043,8.04672,3.980357,42,6.094319000112591
13.141819,9.3539,3.853021,44,6.036094000592129
12.192642,12.953963,4.017774,68,5.172662999939348
12.74683,7.901135,3.717547,72,5.923255999732646
13.346033,7.288131,3.950387,50,5.14003300031618
13.631035,7.968457,3.840323,63,7.0325070000762935
13.674438,7.942676,3.621661,82,7.356009999966773
12.999706,7.20473,3.901718,62,5.987015999380674
12.322225,7.975557,3.93655,65,5.884322999918368
13.134046,7.180388,3.901411,62,5.2999059998910525
13.769634,7.114154,3.029642,43,5.2537190003931755
12.996751,8.082309,4.994464,46,6.781203999707941
12.526031,7.256033,4.985569,84,21.32479699957912
12.982071,8.024757,4.754661,49,6.953514999622712
24.168067,7.201883,4.89591,59,6.944000999283162
14.934465,7.965142,3.169424,44,7.18228099958651
12.620677,7.927384,3.046672,78,7.190423999418272
12.761941,7.100417,3.90151,45,5.226721999861184
11.794671,8.069549,3.70725,64,6.03943399983109
12.062228,8.289629,4.876238,45,6.017760999384336
12.453057,7.164351,4.803362,48,5.122139999912179
11.394139,7.375208,4.835232,82,5.233683999904315
12.087926,7.820488,3.892125,61,7.511929999964195
13.170188,9.042569,3.704316,46,5.220451000241155
10.901397,12.075111,3.384519,65,5.9438520002004225
21.179534,7.863662,3.879993,53,5.875857000319229
12.270763,7.086772,3.008155,75,5.933316999289673
11.499197,13.489121,3.737213,45,6.00442699942505
12.053233,11.262526,4.072375,60,5.355590999897686
17.095039,7.668588,3.119376,49,5.28588899942406
16.579383,8.023254,3.732251,50,5.428089999440999
12.757305,7.222341,3.154613,53,5.909753999731038
12.566749,14.216132,3.582097,55,6.093064000197046
11.403254,8.090808,4.983336,50,6.065525000849448
13.131822,7.229821,3.015647,52,5.254579999927955
12.49874,10.867213,3.9251,49,5.864278999979433
11.538747,7.362748,4.106711,48,5.2639100003943895
11.952893,8.744081,3.979671,46,5.293747999530751
12.588912,8.611472,3.913504,46,5.373169000449707
11.036507,8.541598,3.715697,66,6.1101739993318915
12.899919,9.722252,3.82281,45,5.3139869996812195
16.367932,8.645027,3.889064,43,5.878384000425285
11.430555,12.096915,4.13841,52,5.118477999531024
12.595154,10.345049,3.906418,52,7.4919119997503
12.653595,31.724432,3.978617,44,5.254505000266363
13.390462,8.506767,2.93304,50,6.032754999978351
12.933173,7.812437,3.738144,44,5.964999999378051
12.567028,18.923515,3.940966,45,7.010492999143025
10.933599,16.577225,5.007044,51,5.19714300025953
12.121677,9.401345,4.011596,48,5.923075999817229
12.071287,9.250662,4.00424,46,5.675405000147293
10.90822,7.546237,3.058259,57,5.273234999549459
12.356591,7.802076,4.987781,43,5.259503000161203
12.64519,7.133955,3.078912,95,5.329683000127261
13.603953,7.851141,3.973181,43,7.8048080004009535
13.022408,7.935934,2.966425,47,5.975354999463889
14.584288,7.719935,3.829224,79,6.123567000031471
11.901981,8.40635,4.895018,48,6.180788000165194
10.926203,7.766144,3.040725,53,5.372428000555374
12.443419,7.185422,3.632281,51,6.043544999556616
15.309549,8.032892,4.168942,46,6.092792000345071
